bild,diktnummer,minnesanteckning,poang_officiell,poang_alla,kommentar,confidence,ovrig_text
P1159165.JPG,1,Kosmos,3.8,3.8,"Roligt, prata lite saktare",0.5,Jonas läser dikter
P1159165.JPG,2,Vänta,2,2,,0.6,Jonas läser dikter
P1159165.JPG,3,,3,3,,0.7,Jonas läser dikter
P1159165.JPG,4,,3.8,3.8,,0.7,Jonas läser dikter
P1159165.JPG,5,,2.6,2.6,,0.6,Jonas läser dikter
P1159165.JPG,6,,2.3,2.3,,0.6,Jonas läser dikter
P1159165.JPG,7,,2.9,2.9,,0.6,Jonas läser dikter
P1159165.JPG,8,,3.2,3.2,,0.7,Jonas läser dikter
P1159168.JPG,1,Komma ur depression,2,2,,0.75,Jonas läser dikter
P1159168.JPG,2,Väntan,1,1,Rörig,0.8,Jonas läser dikter
P1159168.JPG,3,Recept,3,3,,0.85,Jonas läser dikter
P1159168.JPG,4,läkarbesök,"3,5","3,5",,0.8,Jonas läser dikter
P1159168.JPG,5,Hela havet stormar,2,2,,0.85,Jonas läser dikter
P1159168.JPG,6,Jägad,4,4,,0.8,Jonas läser dikter
P1159168.JPG,7,Mölning,3,3,,0.7,Jonas läser dikter
P1159168.JPG,8,Stegsmal,"3,5","3,5",,0.7,Jonas läser dikter
P1159167.JPG,1,Depression,2.5,2.5,lite för fort och slarvigt,0.5,Jonas läser dikter
P1159167.JPG,2,Dag vlandade,4.5,4.5,lite slarvig artikulation,0.3,Jonas läser dikter
P1159167.JPG,3,recept soft,4.0,4.0,bättre men lite grötrim,0.4,Jonas läser dikter
P1159167.JPG,4,clokhem,4.0,4.0,lite för fort för oss men vi kanske är för gamla,0.3,Jonas läser dikter
P1159167.JPG,5,"""nac/as var liten""",3.0,3.0,,0.4,Jonas läser dikter
P1159167.JPG,6,"""språk poisen""",2.5,2.5,"mer ståupp än poesi, smårolig ändå",0.3,Jonas läser dikter
P1159167.JPG,7,miäla ur dig,3.0,3.0,,0.5,Jonas läser dikter
P1159167.JPG,8,,3.0,3.0,,0.4,Jonas läser dikter
P1159162.JPG,1,Kom... lag...,3.5,3.5,,0.5,"Jonas läser dikter, ll.e, eftervantat i rodens, brinnas brinner (c)"
P1159162.JPG,2,värden,4,4,,0.6,"Jonas läser dikter, ll.e, eftervantat i rodens, brinnas brinner (c)"
P1159162.JPG,3,rusgt,3.5,3.5,,0.4,"Jonas läser dikter, ll.e, eftervantat i rodens, brinnas brinner (c)"
P1159162.JPG,4,lätartpussik,4.5,4.5,Hoppfull - fin,0.4,"Jonas läser dikter, ll.e, eftervantat i rodens, brinnas brinner (c)"
P1159162.JPG,5,tkolleraton,3,3,,0.4,"Jonas läser dikter, ll.e, eftervantat i rodens, brinnas brinner (c)"
P1159162.JPG,6,cykelkpolis,3.5,3.5,Kul!,0.5,"Jonas läser dikter, ll.e, eftervantat i rodens, brinnas brinner (c)"
P1159162.JPG,7,Mälen,3,3,,0.5,"Jonas läser dikter, ll.e, eftervantat i rodens, brinnas brinner (c)"
P1159162.JPG,8,tylle,3,3,,0.5,"Jonas läser dikter, ll.e, eftervantat i rodens, brinnas brinner (c)"
P1159161.JPG,1,Om på vissa uttrycksfulla sångar renge jublad,3,3,"underhållande, kontraster, smahällskritik, kul rim",0.3,Jonas läser dikter
P1159161.JPG,2,Haiku littföre och blödigt merc med löshel,2,2,rytm + istid/kristid - (kändes nödrim),0.3,Jonas läser dikter
P1159161.JPG,3,Replik,3,3,"rolig, överraskningar",0.4,Jonas läser dikter
P1159161.JPG,4,dikt i nagra alts figurer AmPiStjllou,4,4,"Rolig, underfundig",0.35,Jonas läser dikter
P1159161.JPG,5,John Word Stenvar skolkurs på enfur,3,3,,0.3,Jonas läser dikter
P1159161.JPG,6,Spröd express dMillin,3.5,3.5,"kul ordlekar, originellt, rösten gör en uppmärksam",0.25,Jonas läser dikter
P1159161.JPG,7,einglines i Dicklan,2.5,2.5,Tempot bra,0.35,Jonas läser dikter
P1159161.JPG,8,Hörd vad genus dikter kärt 1/5,4.5,4.5,"Bra performance, Bra flyt, gillar ordlekar",0.25,Jonas läser dikter
P1159164.JPG,1,Komma ur en depression,"3,2","3,2","Pratar i bra takt, rolig blandning av allvarligt och skämt",0.5,Jonas läser dikter
P1159164.JPG,2,att vänta,"4,1","4,1",gillar uppbyggnaden och temat,0.45,Jonas läser dikter
P1159164.JPG,3,ett recept,"4,2","4,2","jättefint, visste inte vad det skulle ara innan det tog slut",0.6,Jonas läser dikter
P1159164.JPG,4,läkarbesök,"3,9","3,9","gillar att det är ett samtal, rimmen var bra",0.4,Jonas läser dikter
P1159164.JPG,5,Språkpolisen,"3,4","3,4",gillar blandningen på ämnena men ibland lite förvirrande,0.5,Jonas läser dikter
P1159164.JPG,6,Måla dina ögon,"4,1","4,1","roliga ordvitsar, slutet var lite långt",0.5,Jonas läser dikter
P1159164.JPG,7,,"4,0","4,0",Fin grund med skämt runt om,0.4,Jonas läser dikter
P1159164.JPG,8,att göra om allt ont till fint,"4,8","4,8",väldigt roligt och fint. Den bästa!,0.6,Jonas läser dikter
P1159166.JPG,1,Joanna ordsp. Sverige,"2,3","2,3","Arbeta med flytet, mer känsla. Annars bra. Du hade superflyt emellanåt.",0.35,Jonas läser dikter
P1159166.JPG,2,Väntat på det här?,"2,2","2,2","Exakt... Exakt... Kanon, där var det riktigt bra inlevelse.",0.3,Jonas läser dikter
P1159166.JPG,3,Recept (Hymner),"3,5","3,5",1000 k bra tryck på detta stycket,0.45,Jonas läser dikter
P1159166.JPG,4,LALABGSK (Humor),"4,2","4,2","Bra flyt, smart med dialog, denna dikt ligger i tiden",0.35,Jonas läser dikter
P1159166.JPG,5,Jov jag var här.,"2,5","2,5",Ta ett russin. Bra paus! Bra innehåll (tryck till),0.3,Jonas läser dikter
P1159166.JPG,6,Polisen,"3,9","3,9",Bra med dynamik med rösten,0.4,Jonas läser dikter
P1159166.JPG,7,KÄR,"4,0","4,0","uppochner bakofram, bra flyt",0.4,Jonas läser dikter
P1159166.JPG,8,Berusad Pock,"3,5","3,5",,0.45,Jonas läser dikter
P1159163.JPG,1,Tröst Depression,3.8,3.8,,0.5,"Jonas läser dikter
Bra när du sänder foolye
Bra 'a' sänder foolye
Hur kul a' S-migrants grinner?
ROM (anteckning i övre vänstra hörnet)"
P1159163.JPG,2,Världshistorien,4.4,4.4,Bäst! Fantastisk med världshistorien och ditt egna liv,0.7,"Jonas läser dikter
Bra när du sänder foolye
Bra 'a' sänder foolye
Hur kul a' S-migrants grinner?
ROM (anteckning i övre vänstra hörnet)"
P1159163.JPG,3,Recept,3.6,3.6,,0.6,"Jonas läser dikter
Bra när du sänder foolye
Bra 'a' sänder foolye
Hur kul a' S-migrants grinner?
ROM (anteckning i övre vänstra hörnet)"
P1159163.JPG,4,Li'kubelsk,4.5,4.5,"Bäst! Humor, bra med två roller! Bra för variationen",0.5,"Jonas läser dikter
Bra när du sänder foolye
Bra 'a' sänder foolye
Hur kul a' S-migrants grinner?
ROM (anteckning i övre vänstra hörnet)"
P1159163.JPG,5,Havet stormar,4.0,4.0,Använder kroppen bra!,0.5,"Jonas läser dikter
Bra när du sänder foolye
Bra 'a' sänder foolye
Hur kul a' S-migrants grinner?
ROM (anteckning i övre vänstra hörnet)"
P1159163.JPG,6,Språkpolisen,3.9,3.9,"3 röster, bra variation",0.5,"Jonas läser dikter
Bra när du sänder foolye
Bra 'a' sänder foolye
Hur kul a' S-migrants grinner?
ROM (anteckning i övre vänstra hörnet)"
P1159163.JPG,7,Målaren,3.5,3.5,"""Drunkna i ögon"" är en sliten bild",0.7,"Jonas läser dikter
Bra när du sänder foolye
Bra 'a' sänder foolye
Hur kul a' S-migrants grinner?
ROM (anteckning i övre vänstra hörnet)"
P1159163.JPG,8,Kamrat proben inhlogen,4.2,4.2,"Bra ""fall""-sekvens! Bra med tempoväxlingarna. Bra avslutningsmening",0.4,"Jonas läser dikter
Bra när du sänder foolye
Bra 'a' sänder foolye
Hur kul a' S-migrants grinner?
ROM (anteckning i övre vänstra hörnet)"
